event,player,selectionLabel,odds_decimal_betinia,status_selection_betinia,marketLabel,deadline_x,odds_decimal_expekt,status_selection_expekt,deadline_y,odds_decimal_betano,status_selection_betano,deadline,payout_betinia,payout_expekt,payout_betano,ratio_betinia_over_expekt,ratio_expekt_over_betinia,ratio_betinia_over_betano,ratio_betano_over_betinia,ratio_expekt_over_betano,ratio_betano_over_expekt,best_payout,best_bookmaker,second_best_payout,ratio_best_over_second
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 2.5,1.5455,Open,Spillers samlede antal skud | Ansgar Knauff,nan,2.0,Open,2026-01-09T19:30:00+00:00,3.8,Open,2026-01-09T19:30:00+00:00,1.5455,2.0,3.8,0.77275,1.2940795858945324,0.4067105263157895,2.4587512131996117,0.5263157894736842,1.9,3.8,Betano,2.0,1.9
Eintracht Frankfurt vs Borussia Dortmund,Jean Matteo Bahoya,Over 0.5,3.2,Open,Spillers samlede antal assister | Jean Matteo Bahoya,nan,6.0,Open,2026-01-09T19:30:00+00:00,,,,3.2,6.0,,0.5333333333333333,1.875,,,,,6.0,Expekt,3.2,1.875
Eintracht Frankfurt vs Borussia Dortmund,Yan Couto,Over 4.5,,,Spillers samlede antal skud | Yan Couto,,13.0,Open,2026-01-09T19:30:00+00:00,24.0,Open,2026-01-09T19:30:00+00:00,,13.0,24.0,,,,,0.5416666666666666,1.8461538461538463,24.0,Betano,13.0,1.8461538461538463
Eintracht Frankfurt vs Borussia Dortmund,Ansgar Knauff,Over 5.5,,,Spillers samlede antal skud | Ansgar Knauff,,12.0,Open,2026-01-09T19:30:00+00:00,22.0,Open,2026-01-09T19:30:00+00:00,,12.0,22.0,,,,,0.5454545454545454,1.8333333333333333,22.0,Betano,12.0,1.8333333333333333
Eintracht Frankfurt vs Borussia Dortmund,Carney Chukwuemeka,Over 2.5,,,Antal afslutninger på mål | Carney Chukwuemeka,,12.0,Open,2026-01-09T19:30:00+00:00,22.0,Open,2026-01-09T19:30:00+00:00,,12.0,22.0,,,,,0.5454545454545454,1.8333333333333333,22.0,Betano,12.0,1.8333333333333333
Eintracht Frankfurt vs Borussia Dortmund,Carney Chukwuemeka,Over 3.5,,,Spillers samlede antal skud | Carney Chukwuemeka,,4.5,Open,2026-01-09T19:30:00+00:00,8.25,Open,2026-01-09T19:30:00+00:00,,4.5,8.25,,,,,0.5454545454545454,1.8333333333333333,8.25,Betano,4.5,1.8333333333333333
Eintracht Frankfurt vs Borussia Dortmund,Jean Matteo Bahoya,Over 1.5,2.3,Open,Spiller Frispark Begået | Jean Matteo Bahoya,nan,4.2,Open,2026-01-09T19:30:00+00:00,,,,2.3,4.2,,0.5476190476190476,1.8260869565217392,,,,,4.2,Expekt,2.3,1.8260869565217392
Eintracht Frankfurt vs Borussia Dortmund,Carney Chukwuemeka,Over 4.5,,,Spillers samlede antal skud | Carney Chukwuemeka,,8.5,Open,2026-01-09T19:30:00+00:00,15.5,Open,2026-01-09T19:30:00+00:00,,8.5,15.5,,,,,0.5483870967741935,1.8235294117647058,15.5,Betano,8.5,1.8235294117647058
Eintracht Frankfurt vs Borussia Dortmund,Ritsu Doan,Over 3.5,4.0,Open,Spillers samlede antal skud | Ritsu Doan,nan,5.0,Open,2026-01-09T19:30:00+00:00,9.0,Open,2026-01-09T19:30:00+00:00,4.0,5.0,9.0,0.8,1.25,0.4444444444444444,2.25,0.5555555555555556,1.8,9.0,Betano,5.0,1.8
Eintracht Frankfurt vs Borussia Dortmund,Daniel Svensson,Over 2.5,5.5,Open,Spillers samlede antal skud | Daniel Svensson,nan,4.0,Open,2026-01-09T19:30:00+00:00,9.75,Open,2026-01-09T19:30:00+00:00,5.5,4.0,9.75,1.375,0.7272727272727273,0.5641025641025641,1.7727272727272727,0.41025641025641024,2.4375,9.75,Betano,5.5,1.7727272727272727
