selectionLabel,odds_decimal,status_selection,marketLabel,deadline,player,line
Over 0.5,2.8,Open,Spillers samlede antal skud | Wellity Lucky,2026-01-08T20:00:00Z,Wellity Lucky,
Over 1.5,10.0,Open,Spillers samlede antal skud | Wellity Lucky,2026-01-08T20:00:00Z,Wellity Lucky,
Over 1.5,1.42,Open,Spillers samlede antal skud | Viktor Gyökeres,2026-01-08T20:00:00Z,Viktor Gyökeres,
Over 3.5,3.9,Open,Spillers samlede antal skud | Viktor Gyökeres,2026-01-08T20:00:00Z,Viktor Gyökeres,
Over 2.5,2.2,Open,Spillers samlede antal skud | Viktor Gyökeres,2026-01-08T20:00:00Z,Viktor Gyökeres,
Over 2.5,2.5,Open,Spillers samlede antal skud | Hugo Ekitike,2026-01-08T20:00:00Z,Hugo Ekitike,
Over 1.5,1.52,Open,Spillers samlede antal skud | Hugo Ekitike,2026-01-08T20:00:00Z,Hugo Ekitike,
Over 3.5,4.5,Open,Spillers samlede antal skud | Hugo Ekitike,2026-01-08T20:00:00Z,Hugo Ekitike,
Over 1.5,10.0,Open,Spillers samlede antal skud | Milos Kerkez,2026-01-08T20:00:00Z,Milos Kerkez,
Over 0.5,1.72,Open,Spillers samlede antal skud | Treymaurice Nyoni,2026-01-08T20:00:00Z,Treymaurice Nyoni,
Over 0.5,2.8,Open,Spillers samlede antal skud | Milos Kerkez,2026-01-08T20:00:00Z,Milos Kerkez,
Over 1.5,4.25,Open,Spillers samlede antal skud | Treymaurice Nyoni,2026-01-08T20:00:00Z,Treymaurice Nyoni,
Over 1.5,1.75,Open,Spillers samlede antal skud | Tommy Pilling,2026-01-08T20:00:00Z,Tommy Pilling,
Over 0.5,1.16,Open,Spillers samlede antal skud | Tommy Pilling,2026-01-08T20:00:00Z,Tommy Pilling,
Over 2.5,3.2,Open,Spillers samlede antal skud | Tommy Pilling,2026-01-08T20:00:00Z,Tommy Pilling,
Over 3.5,3.4,Open,Spillers samlede antal skud | Ethan Nwaneri,2026-01-08T20:00:00Z,Ethan Nwaneri,
Over 1.5,1.32,Open,Spillers samlede antal skud | Ethan Nwaneri,2026-01-08T20:00:00Z,Ethan Nwaneri,
